DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2017-01-28,6.85e-06,7.02e-06,6.73e-06,6.95e-06,31000340.82,213.45,XRP,43.54732223279048,7.293571428571433e-06,7.1919572038856295e-06,43.516376550033684,7.192333333333299e-06,7.3490649824073965e-06,44.04551219466576,7.619833333333392e-06,7.88014255218678e-06
2017-01-29,6.95e-06,7.01e-06,6.79e-06,6.91e-06,33118267.97,227.91,XRP,42.973851447506796,7.202857142857148e-06,7.1543629100342125e-06,43.28001495411601,7.197333333333299e-06,7.320738209348855e-06,43.9385771596394,7.586000000000059e-06,7.848334599656066e-06
2017-01-30,6.91e-06,6.94e-06,6.43e-06,6.48e-06,49903335.21,332.18,XRP,37.31413233160087,7.137857142857149e-06,7.064447855362984e-06,40.817282796226706,7.202333333333299e-06,7.266497034552154e-06,42.80283961664456,7.5510000000000595e-06,7.803471170159146e-06
2017-01-31,6.48e-06,6.98e-06,6.24e-06,6.57e-06,161084006.5,1075.94,XRP,39.11240964092726,7.056428571428577e-06,6.99852147464792e-06,41.536776552099184,7.215666666666633e-06,7.221561742000402e-06,43.11571896947063,7.518000000000059e-06,7.76302949244901e-06
2017-02-01,6.57e-06,6.75e-06,6.31e-06,6.38e-06,62187569.61,406.51,XRP,36.72914558337458,6.9778571428571485e-06,6.916051944694864e-06,40.46365535807353,7.220666666666633e-06,7.167267436064892e-06,42.615386663490675,7.484166666666726e-06,7.717684263188387e-06
2017-02-02,6.38e-06,6.4e-06,6.18e-06,6.35e-06,41353722.07,259.9,XRP,36.35439237646369,6.90428571428572e-06,6.840578352068882e-06,40.29380660124532,7.2423333333333e-06,7.114540504705867e-06,42.53614979047276,7.449666666666727e-06,7.672842156198603e-06
2017-02-03,6.35e-06,6.38e-06,6.16e-06,6.2e-06,27072878.74,170.17,XRP,34.47025626986733,6.8264285714285775e-06,6.755167905126365e-06,39.43848791822255,7.241666666666632e-06,7.055537891499037e-06,42.13787563896255,7.407166666666726e-06,7.624552249437994e-06
2017-02-04,6.2e-06,6.35e-06,6.18e-06,6.24e-06,32231499.87,202.01,XRP,35.426441557761194,6.74928571428572e-06,6.686478851109516e-06,39.790666267690106,7.213666666666632e-06,7.00292254366039e-06,42.284384735760916,7.356333333333393e-06,7.579157093718715e-06
2017-02-05,6.24e-06,6.27e-06,6.13e-06,6.22e-06,28553295.77,176.92,XRP,35.15166309309526,6.675714285714291e-06,6.624281670961581e-06,39.67147218260959,7.184666666666633e-06,6.952411411811332e-06,42.23002964916937,7.31100000000006e-06,7.5345945660558066e-06
2017-02-06,6.22e-06,6.26e-06,5.9e-06,6.03e-06,91369225.06,556.05,XRP,32.579566406604854,6.586428571428577e-06,6.54504411483337e-06,38.538213345748794,7.157666666666632e-06,6.8929009981460845e-06,41.71215459755416,7.2640000000000595e-06,7.485263596676927e-06
2017-02-07,6.03e-06,6.23e-06,5.91e-06,6.04e-06,69059587.45,419.46,XRP,32.856613931322265,6.502142857142863e-06,6.477704899522254e-06,38.6335519132384,7.130333333333299e-06,6.83787512729795e-06,41.7503773276184,7.220166666666727e-06,7.437877904982602e-06
2017-02-08,6.04e-06,6.68e-06,5.88e-06,6.35e-06,159782855.0,1004.74,XRP,40.920174528299164,6.4664285714285775e-06,6.460677579585954e-06,41.53848185763189,7.090333333333298e-06,6.806399312633566e-06,42.92986359920485,7.1793333333333936e-06,7.402209776950385e-06
2017-02-09,6.35e-06,6.59e-06,6.24e-06,6.32e-06,73968948.49,473.86,XRP,40.41689490833272,6.420714285714291e-06,6.441920568974493e-06,41.34277578192184,7.027333333333298e-06,6.775018711818497e-06,42.844507791304515,7.14100000000006e-06,7.36672748918152e-06
2017-02-10,6.32e-06,6.41e-06,6.2e-06,6.3e-06,30427247.54,191.72,XRP,40.06492288690075,6.381428571428577e-06,6.422997826444561e-06,41.20902534432356,6.975999999999965e-06,6.7443723433140785e-06,42.78684824894349,7.10050000000006e-06,7.331752817405077e-06
2017-02-11,6.3e-06,6.37e-06,6.25e-06,6.27e-06,20157608.85,127.08,XRP,39.51191947878603,6.332857142857148e-06,6.402598116251952e-06,41.00341389482639,6.914999999999965e-06,6.713767676003492e-06,42.69921563339338,7.062166666666727e-06,7.296941249621303e-06
2017-02-12,6.27e-06,6.42e-06,6.21e-06,6.24e-06,35350499.88,222.64,XRP,38.93610938542342,6.285000000000005e-06,6.3809183674183585e-06,40.793093190032565,6.8439999999999645e-06,6.6832020194871384e-06,42.610489697851044,7.022833333333394e-06,7.26228743815831e-06
2017-02-13,6.24e-06,6.39e-06,6.14e-06,6.22e-06,55345839.52,345.87,XRP,38.53498569552056,6.266428571428576e-06,6.35946258509591e-06,40.649456320042475,6.7743333333332975e-06,6.653318018229904e-06,42.55056258951793,6.9855000000000604e-06,7.228114079530168e-06
2017-02-14,6.22e-06,6.26e-06,5.98e-06,6.02e-06,67746408.9,413.74,XRP,34.704333754862034,6.227142857142862e-06,6.314200907083122e-06,39.222359462116785,6.702333333333298e-06,6.612458791247329e-06,41.95073701775411,6.948666666666726e-06,7.188503781840655e-06
