DateTime,Open,High,Low,Close,Symbol
2016-01-26,389.78,397.37,389.35,395.02,BTC
2016-01-27,395.02,395.42,376.71,379.69,BTC
2016-01-28,379.69,385.75,363.49,380.29,BTC
2016-01-29,380.29,381.75,375.04,377.76,BTC
2016-01-30,377.76,380.54,366.88,369.84,BTC
2016-01-31,369.84,379.78,365.27,372.18,BTC
2016-02-01,372.18,376.63,371.4,373.92,BTC
2016-02-02,373.92,375.89,366.2,368.02,BTC
2016-02-03,368.02,391.83,368.05,390.65,BTC
2016-02-04,390.65,391.15,384.48,386.46,BTC
2016-02-05,386.46,386.35,372.87,376.68,BTC
2016-02-06,376.68,382.61,375.28,377.94,BTC
2016-02-07,377.94,380.92,372.1,372.63,BTC
2016-02-08,372.63,377.59,371.42,375.32,BTC
2016-02-09,375.32,385.38,374.09,381.88,BTC
2016-02-10,381.88,383.23,372.75,379.45,BTC
2016-02-11,379.45,386.4,379.32,384.04,BTC
2016-02-12,384.04,392.57,383.31,390.1,BTC
2016-02-13,390.1,405.93,390.06,405.5,BTC
2016-02-14,405.5,410.85,396.56,401.07,BTC
2016-02-15,401.07,409.75,398.0,406.42,BTC
2016-02-16,406.42,421.45,405.05,417.14,BTC
2016-02-17,417.14,425.51,414.78,421.4,BTC
2016-02-18,421.4,424.26,416.36,419.98,BTC
2016-02-19,419.98,442.66,419.49,440.06,BTC
2016-02-20,440.06,447.61,425.47,437.87,BTC
2016-02-21,437.87,440.18,431.3,437.79,BTC
2016-02-22,437.79,440.76,414.36,419.9,BTC
2016-02-23,419.9,425.17,410.36,422.72,BTC
2016-02-24,422.72,427.18,417.51,423.48,BTC
2016-02-25,423.48,427.58,419.11,427.32,BTC
2016-02-26,427.32,434.14,427.3,431.3,BTC
2016-02-27,431.3,435.62,421.22,432.47,BTC
2016-02-28,432.47,441.32,429.83,436.21,BTC
2016-02-29,436.21,439.02,428.49,434.04,BTC
2016-03-01,434.04,435.91,423.85,425.36,BTC
2016-03-02,425.36,425.83,414.94,419.56,BTC
2016-03-03,419.56,423.39,407.2,409.48,BTC
2016-03-04,409.48,410.06,386.93,399.0,BTC
2016-03-05,399.0,412.02,393.09,405.96,BTC
2016-03-06,405.96,416.58,401.98,414.87,BTC
2016-03-07,414.87,416.72,408.42,411.9,BTC
2016-03-08,411.9,414.88,408.94,412.76,BTC
2016-03-09,412.76,417.48,410.27,415.83,BTC
2016-03-10,415.83,422.4,415.11,419.11,BTC
2016-03-11,419.11,420.67,407.03,410.36,BTC
2016-03-12,410.36,415.93,409.57,412.41,BTC
2016-03-13,412.41,416.08,411.19,414.31,BTC
2016-03-14,414.31,417.37,412.31,415.13,BTC
2016-03-15,415.13,416.95,413.32,415.91,BTC
2016-03-16,415.91,419.56,415.33,418.16,BTC
2016-03-17,418.16,418.58,402.48,408.16,BTC
2016-03-18,408.16,410.49,402.13,408.69,BTC
2016-03-19,408.69,413.45,407.24,411.53,BTC
2016-03-20,411.53,413.09,407.25,411.11,BTC
2016-03-21,411.11,417.94,410.78,416.21,BTC
2016-03-22,416.21,419.58,414.18,416.98,BTC
2016-03-23,416.98,417.68,412.88,414.74,BTC
2016-03-24,414.74,417.3,412.41,415.71,BTC
2016-03-25,415.71,417.71,413.93,416.51,BTC
2016-03-26,416.51,427.36,415.5,424.57,BTC
2016-03-27,424.57,425.36,419.7,422.21,BTC
2016-03-28,422.21,424.53,406.36,415.0,BTC
2016-03-29,415.0,416.22,408.4,412.44,BTC
2016-03-30,412.44,417.16,411.45,415.66,BTC
2016-03-31,415.66,416.86,412.79,415.64,BTC
2016-04-01,415.64,420.09,415.09,418.51,BTC
2016-04-02,418.51,420.18,416.95,419.06,BTC
2016-04-03,419.06,420.39,416.21,419.33,BTC
2016-04-04,419.33,423.67,417.95,422.07,BTC
2016-04-05,422.07,422.81,419.54,421.26,BTC
2016-04-06,421.26,422.03,417.94,420.14,BTC
2016-04-07,420.14,423.51,415.5,417.69,BTC
2016-04-08,417.69,418.85,412.39,418.05,BTC
2016-04-09,418.05,421.63,416.69,420.25,BTC
2016-04-10,420.25,422.35,418.11,421.43,BTC
2016-04-11,421.43,426.69,420.7,424.74,BTC
2016-04-12,424.74,426.58,421.41,423.47,BTC
2016-04-13,423.47,425.44,421.84,424.02,BTC
2016-04-14,424.02,429.49,423.25,428.67,BTC
2016-04-15,428.67,432.0,426.84,430.05,BTC
2016-04-16,430.05,430.62,423.79,426.26,BTC
2016-04-17,426.26,429.07,424.35,427.69,BTC
2016-04-18,427.69,436.07,426.84,434.92,BTC
2016-04-19,434.92,442.86,432.51,441.16,BTC
2016-04-20,441.16,450.8,439.53,449.34,BTC
2016-04-21,449.34,450.19,441.9,445.28,BTC
2016-04-22,445.28,451.48,443.07,450.08,BTC
2016-04-23,450.08,461.78,447.89,457.56,BTC
2016-04-24,457.56,466.23,451.79,461.73,BTC
2016-04-25,461.73,468.86,459.23,466.0,BTC
2016-04-26,466.0,467.87,444.62,447.01,BTC
2016-04-27,447.01,450.1,433.9,448.48,BTC
2016-04-28,448.48,456.31,445.22,454.98,BTC
2016-04-29,454.98,456.86,446.65,448.53,BTC
2016-04-30,448.53,454.21,447.52,452.24,BTC
2016-05-01,452.24,453.87,440.21,444.18,BTC
2016-05-02,444.18,451.54,441.55,450.27,BTC
2016-05-03,450.27,450.87,444.22,445.8,BTC
2016-05-04,445.8,449.19,444.35,448.08,BTC
2016-05-05,448.08,461.48,445.72,459.56,BTC
2016-05-06,459.56,460.61,454.6,458.46,BTC
2016-05-07,458.46,460.18,454.94,457.87,BTC
2016-05-08,457.87,464.18,455.38,460.44,BTC
2016-05-09,460.44,462.14,446.81,449.36,BTC
2016-05-10,449.36,456.15,449.59,452.5,BTC
2016-05-11,452.5,455.34,448.4,454.43,BTC
2016-05-12,454.43,457.22,451.49,455.41,BTC
2016-05-13,455.41,457.74,453.58,456.44,BTC
2016-05-14,456.44,460.28,455.0,458.11,BTC
2016-05-15,458.11,459.57,450.73,454.87,BTC
2016-05-16,454.87,456.3,451.71,453.25,BTC
2016-05-17,453.25,456.65,452.35,454.22,BTC
2016-05-18,454.22,455.19,441.12,442.66,BTC
2016-05-19,442.66,447.76,435.42,442.11,BTC
2016-05-20,442.11,445.24,439.73,443.64,BTC
2016-05-21,443.64,444.24,436.94,439.62,BTC
2016-05-22,439.62,444.99,438.24,443.69,BTC
2016-05-23,443.69,447.9,442.02,446.11,BTC
2016-05-24,446.11,451.21,445.35,449.78,BTC
2016-05-25,449.78,454.25,447.67,453.3,BTC
2016-05-26,453.3,479.22,452.71,474.05,BTC
2016-05-27,474.05,531.76,467.05,524.22,BTC
2016-05-28,524.22,548.04,493.22,516.05,BTC
2016-05-29,516.05,544.18,512.81,532.26,BTC
2016-05-30,532.26,546.92,513.15,528.92,BTC
2016-05-31,528.92,542.26,521.3,537.4,BTC
2016-06-01,537.4,541.55,530.47,537.1,BTC
2016-06-02,537.1,573.72,534.34,567.03,BTC
2016-06-03,567.03,592.68,560.87,571.95,BTC
2016-06-04,571.95,583.64,567.77,574.91,BTC
2016-06-05,574.91,586.73,571.67,583.58,BTC
2016-06-06,583.58,591.32,543.63,575.58,BTC
2016-06-07,575.58,582.44,567.78,580.51,BTC
2016-06-08,580.51,580.71,569.26,574.69,BTC
2016-06-09,574.69,579.26,571.14,577.89,BTC
2016-06-10,577.89,592.61,576.29,591.6,BTC
2016-06-11,591.6,683.85,592.79,666.55,BTC
2016-06-12,666.55,718.24,652.78,700.07,BTC
2016-06-13,700.07,702.52,654.69,685.14,BTC
2016-06-14,685.14,695.07,670.45,690.77,BTC
2016-06-15,690.77,769.73,687.43,761.21,BTC
2016-06-16,761.21,771.89,704.21,743.9,BTC
2016-06-17,743.9,776.04,727.13,753.77,BTC
2016-06-18,753.77,765.1,740.38,761.04,BTC
2016-06-19,761.04,764.6,717.41,733.97,BTC
2016-06-20,733.97,732.23,626.05,667.38,BTC
2016-06-21,667.38,677.8,586.6,590.56,BTC
2016-06-22,590.56,629.55,539.28,620.84,BTC
2016-06-23,620.84,687.39,616.41,656.89,BTC
2016-06-24,656.89,688.1,640.79,663.52,BTC
2016-06-25,663.52,665.19,609.9,625.41,BTC
2016-06-26,625.41,650.34,615.22,644.66,BTC
2016-06-27,644.66,659.27,634.26,644.89,BTC
2016-06-28,644.89,645.91,621.76,636.54,BTC
2016-06-29,636.54,673.04,631.24,670.02,BTC
2016-06-30,670.02,685.11,661.09,674.57,BTC
2016-07-01,674.57,700.46,671.46,698.06,BTC
2016-07-02,698.06,701.49,644.61,661.64,BTC
2016-07-03,661.64,679.03,644.04,675.16,BTC
2016-07-04,675.16,679.19,657.31,663.67,BTC
2016-07-05,663.67,678.39,662.24,672.7,BTC
2016-07-06,672.7,676.19,604.95,635.25,BTC
2016-07-07,635.25,663.43,630.17,662.78,BTC
2016-07-08,662.78,663.49,620.68,651.83,BTC
2016-07-09,651.83,651.98,636.8,647.11,BTC
2016-07-10,647.11,657.47,639.97,646.71,BTC
2016-07-11,646.71,673.19,644.56,670.56,BTC
2016-07-12,670.56,672.02,656.04,661.15,BTC
2016-07-13,661.15,661.88,646.31,657.25,BTC
2016-07-14,657.25,667.46,656.5,664.2,BTC
2016-07-15,664.2,665.41,655.72,660.69,BTC
2016-07-16,660.69,680.94,660.13,676.33,BTC
2016-07-17,676.33,680.42,664.61,670.38,BTC
2016-07-18,670.38,673.24,663.63,671.1,BTC
2016-07-19,671.1,672.29,659.51,664.4,BTC
2016-07-20,664.4,666.51,657.82,664.62,BTC
2016-07-21,664.62,669.44,645.69,651.11,BTC
2016-07-22,651.11,658.17,647.98,655.16,BTC
2016-07-23,655.16,664.21,651.03,659.29,BTC
2016-07-24,659.29,662.51,651.08,654.0,BTC
2016-07-25,654.0,657.76,643.49,654.38,BTC
2016-07-26,654.38,659.08,646.04,654.54,BTC
2016-07-27,654.54,657.96,650.81,654.13,BTC
2016-07-28,654.13,657.4,650.99,655.43,BTC
2016-07-29,655.43,657.55,652.06,654.74,BTC
2016-07-30,654.74,654.92,621.42,621.87,BTC
2016-07-31,621.87,627.89,603.55,607.0,BTC
2016-08-01,607.0,613.75,471.36,513.43,BTC
2016-08-02,513.43,573.06,514.09,566.44,BTC
2016-08-03,566.44,584.89,559.5,576.22,BTC
2016-08-04,576.22,579.97,565.81,574.66,BTC
2016-08-05,574.66,596.68,565.33,586.45,BTC
2016-08-06,586.45,596.01,580.87,590.85,BTC
2016-08-07,590.85,594.24,585.41,589.24,BTC
2016-08-08,589.24,591.2,581.1,585.25,BTC
2016-08-09,585.25,600.52,580.87,590.94,BTC
2016-08-10,590.94,599.15,585.39,587.84,BTC
2016-08-11,587.84,591.14,582.2,587.14,BTC
2016-08-12,587.14,590.07,582.81,584.59,BTC
2016-08-13,584.59,585.8,559.93,569.06,BTC
2016-08-14,569.06,574.97,559.28,566.95,BTC
2016-08-15,566.95,583.38,563.38,580.19,BTC
2016-08-16,580.19,581.1,568.66,572.34,BTC
2016-08-17,572.34,579.53,570.83,573.39,BTC
2016-08-18,573.39,577.86,566.25,574.56,BTC
2016-08-19,574.56,583.5,572.28,582.61,BTC
2016-08-20,582.61,585.32,577.84,580.66,BTC
2016-08-21,580.66,591.9,577.13,587.47,BTC
